AGENCY_ID,LAST_NAME,FIRST_NAME,MIDDLE_INITIAL,GENDER,ADDRESS_LINE1,ADDRESS_LINE2,POSTAL_CODE,CITY,STATE,COUNTRY,PHONE,INCOME,NUMBER_CARS,NUMBER_CHILDREN,MARITAL_STATUS,AGE,CREDIT_RATING,OWN_OR_RENT_FLAG,EMPLOYER,NUMBER_CREDIT_CARDS,NET_WORTH
PEL0,PELLAND,Netti,,f,21847 olympia street,,T6b 1i1,Fairbanks,MA,United States of America,1-712-522-6088,368776.0,,3.0,W,20.0,760.0,O,Brink's,,1058868.0
LED1,LEDUC,TRUDY,,F,245 congress court,APT. 624,77281,Quebec,PA,United States of America,1-626-426-4298,177967.0,5.0,1.0,U,3.0,555.0,U,,6.0,1988185.0
lat2,latif,ireland,,,6517 frailing west,,91355,Henderson,Alberta,United States of America,1-524-787-8784,321772.0,2.0,1.0,S,,566.0,O,,6.0,3673128.0
RUD3,RUDDICK,Misti,,,11449 blalock park,,36615,Salem,AR,Canada,1-741-997-1688,25449.0,2.0,1.0,W,77.0,,O,Air Products & Chemicals,3.0,2005895.0
JAY4,JAYAMANNE,sarena,M,f,18354 dodd court,Apt. 619,t6a 1i3,Toledo,OR,Canada,1-002-194-1991,166567.0,0.0,3.0,M,21.0,815.0,O,Oshkosh,4.0,624736.0
tod5,todo,Paulette,Z,M,14117 roxboro street,,A2b 1v3,Corpus Christi,VA,United States of America,1-441-371-7651,43631.0,1.0,4.0,M,77.0,333.0,R,,10.0,3064615.0
Kan6,Kanno,AMALITA,R,m,24697 FLORENCE WEST,,49513,Salt Lake City,OH,Canada,1-957-940-5980,466230.0,4.0,0.0,,23.0,528.0,O,VeraSun Energy,1.0,3489129.0
Din7,Dinkel,Ernesto,Z,,6488 applewood drive,,M5d 1v6,Brownsville,Prince Edward Island,United States of America,1-768-633-4096,420243.0,2.0,2.0,M,9.0,680.0,U,IDT,7.0,3430744.0
Thi8,Thibodeaux,Toby,,,17404 gale court,,V6c 1q1,Escondido,NV,United States of America,1-107-689-2155,141862.0,3.0,,U,63.0,761.0,O,Adams Resources & Energy,10.0,1743614.0
May9,Mayo,evangelia,,,15913 alexis street,,99716,Los Angeles,Ontario,United States of America,1-173-594-6096,402011.0,0.0,2.0,M,32.0,416.0,O,MGIC Investment,,216299.0
mah10,mahendra,umakanth,U,,18313 5th lane,,A2b 1w1,West Covina,TX,Canada,1-561-520-0611,79928.0,2.0,2.0,M,96.0,493.0,O,Iasis Healthcare,9.0,1528641.0
Siz11,Sizto,terrie,,,13653 collier avenue,,M5F 1W1,San Buenaventura,NE,United States of America,1-730-406-9727,109496.0,1.0,0.0,M,46.0,564.0,R,AMR,0.0,3752907.0
cra12,crawley,Mary-pat,,,15306 pike park,,95118,Lexington,AR,United States of America,,267901.0,1.0,4.0,U,6.0,817.0,U,Embarq,0.0,582378.0
dac13,dacal,Catherin,,m,1540 crestmere north,,H2f 1v7,Hay River,MI,United States of America,1-207-867-4589,487273.0,3.0,5.0,U,39.0,653.0,R,Advanced Micro Devices,8.0,3458824.0
HIV14,HIVELY,annissa,W,,10790 bonita crescent,,19217,Toronto,MA,United States of America,1-478-629-9641,34013.0,3.0,4.0,M,73.0,587.0,O,Cenveo,2.0,469408.0
Pes15,Peschke,Amour,,,24679 AIRPORT CRESCENT,Apt. 290,21228,Denver,TN,United States of America,1-026-208-8595,473462.0,0.0,2.0,S,26.0,472.0,O,Kelly Services,6.0,1504480.0
CHI16,CHILDERHOSE,jenica,,,7627 douglas road,,85097,St. Paul,TN,Canada,1-432-681-4853,499493.0,5.0,4.0,M,54.0,817.0,O,Viacom,4.0,2763009.0
Din17,Dinnin,KATTIE,,,6106 ashland east,,V6j 1q8,Bellevue,OK,United States of America,,266928.0,5.0,4.0,M,87.0,441.0,R,Macy's,0.0,2787199.0
De 18,De witte,Roselle,M,,1111 norden street,,43207,Detroit,Ontario,United States of America,1-357-207-6320,72444.0,2.0,3.0,M,85.0,848.0,O,Gardner Denver,6.0,2789368.0
Mck19,Mckeegan,arlyne,,m,2798 1st east,,V6t 1q8,Omaha,KY,United States of America,1-462-774-1277,77290.0,3.0,3.0,U,86.0,843.0,R,Family Dollar Stores,8.0,2784776.0
WIN20,WINTERS,Rong-chin,P,M,11358 elle lee street,,94467,Costa Mesa,PA,United States of America,1-702-382-2898,395066.0,2.0,0.0,U,59.0,,R,,,288747.0
BIT21,BITTMAN,Darlleen,,,21074 MALLORY LOWER,,94321,Berkeley,MD,United States of America,1-909-554-7120,119283.0,5.0,3.0,U,94.0,300.0,O,Sun Microsystems,0.0,876575.0
luz22,luzarraga,Radoslav,V,f,16124 weyland park,,C2a 4w7,St. Louis,TX,United States of America,1-752-296-7940,330991.0,1.0,1.0,U,,795.0,O,Costco Wholesale,8.0,2041224.0
don23,donovan,Aryn,S,,23822 marvin crescent,,35808,Colorado Springs,IN,United States of America,1-995-554-5056,,4.0,0.0,,5.0,367.0,U,Illinois Tool Works,5.0,2231509.0
Gia24,Giallo,Allisan,T,,2203 valita boulevard,,M5f 1v6,Fontana,MD,United States of America,1-090-303-3807,252031.0,1.0,5.0,M,23.0,507.0,O,Southern Union,1.0,3206409.0
SPR25,SPRUELL,Ammamaria,,M,11538 COLLINWOOD AVENUE,,99539,St. Catharines,KY,United States of America,1-492-968-0932,101800.0,3.0,1.0,M,61.0,362.0,O,Moog,9.0,3850037.0
SKA26,SKALSKI,Mari,,F,7818 EAST STREET,,95055,Hayward,CA,United States of America,1-960-227-2020,436977.0,0.0,1.0,D,,527.0,O,Old Republic International,7.0,528440.0
Gar27,Gargul,Anica,,m,10013 shaw road,,93686,Palmdale,FL,United States of America,1-431-122-8597,495334.0,0.0,,S,51.0,354.0,O,,0.0,597140.0
Dor28,Dore,Melba,,,6802 AMES STREET,,75218,Phoenix,Newfoundland,United States of America,1-822-836-7200,274685.0,1.0,1.0,M,97.0,511.0,O,Great Plains Energy,1.0,146931.0
DIO29,DIOGO,Tracee,X,,22501 SUMMIT RUE,,91174,Gary,TX,United States of America,1-530-117-0497,320820.0,2.0,2.0,,52.0,412.0,,Broadcom,7.0,353495.0
Mer30,Merrick,CANADIAN,,m,291 frances rue,,49515,Beaumont,WA,Canada,1-051-257-2719,195835.0,4.0,0.0,S,98.0,583.0,O,Discover Financial Services,1.0,295647.0
Atc31,Atchison,Oue,R,,16264 sanders east,,16506,Nashua,MN,United States of America,1-171-989-1363,108085.0,5.0,3.0,U,47.0,710.0,O,UAL,5.0,408941.0
Pla32,Plamondon,wallie,X,m,16068 cantey way,,94383,San Jose,WY,United States of America,1-042-705-3246,260185.0,2.0,1.0,M,47.0,380.0,O,Charles Schwab,9.0,362523.0
SEL33,SELCHOW,Andromache,E,F,21170 EDLOE BOULEVARD,,T6d 1b3,Nashua,NY,United States of America,1-098-328-2026,258323.0,0.0,0.0,M,9.0,796.0,R,Coach,2.0,2102359.0
sha34,shane,THOR,Z,f,885 CROSBY LANE,,25339,Fort Smith,SC,United States of America,1-209-754-5635,79476.0,1.0,3.0,M,85.0,818.0,U,DaVita,2.0,3480265.0
MER35,MERWIN,SALAH,,,12235 jay street,,V6o 1v4,Lancaster,MS,United States of America,1-498-781-3456,102156.0,5.0,3.0,M,81.0,766.0,U,Marshall & Ilsley Corp.,3.0,3648900.0
