EMPLOYEE_ID,MANAGER_ID,EMPLOYEE_FIRST_NAME,EMPLOYEE_LAST_NAME,EMPLOYEE_MI,EMPLOYEE_JOB_CODE,EMPLOYEE_BRANCH,EMPLOYEE_OFFICE,EMPLOYEE_PHONE
0,211,Ozkan,Douglas,,647.0,EGZKSobTeknHCbLuHczvWmhTmCSGXD,OFFICE7152,(726) 088-3331
1,413,Suer,Candice,,314.0,OfOBVvpzNvHCebxyuxXFwsMju  JRU,OFFICE8586,(344) 999-2652
2,246,Somisetty,Jami,P,534.0,rAHWYkktOXAyPAYHlncZPG,,(984) 538-5366
3,248,Mazurek,Rosalinda,J,364.0,TJQqsUQQGqWG QleLheUoYlgRNVT,OFFICE8487,(860) 037-6897
4,1304,Aronovich,Delphine,M,314.0,IEMJHuQgCPDHCwwJkgQQeaqGvzMcVD,OFFICE9420,(604) 387-9350
5,238,Dungan,Keven,,658.0,khvIWABJjQYAX ZSikZJVaTKJMEk,OFFICE6381,(023) 044-4601
6,116,Huberman,Eada,,393.0,IaVSdoVNajvXgVPxMFSSCIzHlqEXk,OFFICE1048,(941) 396-0449
7,840,Hensley,Mair,,647.0,RNbCYgwfkMULMAqjzBQtRDIv,,(171) 002-0047
8,644,Hansen,Montreal,T,314.0,sGIpORbLsRjTdhqBNBQppRRkp ,OFFICE6343,(991) 491-4907
9,983,Emmerstorfer,Yoshimitsu,,266.0,lChrJNLNEMqFVOPEbHGNEzIEsHGkkh,OFFICE7016,(384) 115-6560
10,730,Di Cosola,Katrinka,,47.0,ODlVMCZKSHzPSytqRSJJHaq Qp,OFFICE3420,(377) 282-9639
11,678,Charchanko,Sheela,,314.0,Cw QJMHPgpozCKsFZMmmbokwSRTPD,OFFICE7705,(977) 726-0106
12,98,Swearingen,Fern,,658.0,AHYesAFNNOCNyUBhAQYEFJjPPV,OFFICE7103,(066) 010-7956
13,254,Ayotte,Aris,E,48.0,NvlzvjOJPTLepbPNIslnt,OFFICE9877,(968) 842-0045
14,1099,Knorp,Uday,,314.0,QmCLAAAJibegHoPZcQJCdDfukiRQo,OFFICE6437,(254) 560-8156
15,1421,Ruppert,Lyda,J,262.0,KBOunZheDqHLnMLNOuPDRh,OFFICE9255,(576) 552-6260
16,669,Sanders,Shuo,T,393.0,nsFrUbPFGwowLqYMPexMKaUa,OFFICE3924,
17,906,Mumma,Joelle,H,47.0,eTxCSweDtJztBKCZfkgECS,OFFICE9172,(189) 772-9162
18,1364,Epperson,Aurelia,,314.0,LKwSkUqcPPeABCtNoSJlyL,OFFICE6238,(278) 978-2483
19,1140,Saundercook,Rebecca,,534.0,YCnuTzFfQLMcavJaPMNNkFOLcnkx,OFFICE9208,(210) 768-0573
20,587,Floch,Azmina,,364.0,IybjMqgKNuyaXiCnGAwRQ,OFFICE3415,(174) 278-5221
21,539,Bopp,Lilian,,,BEDbasaIGkPFWMijSARVBe,OFFICE2429,(433) 857-6051
22,805,Charlebois,Palme,S,262.0,GzvTCDILgqccvQGFPPNTCj,OFFICE2668,(302) 803-2563
23,456,Anstead,Lisha,,393.0,SIBfwcpTJGqTBrPzNDsxxnVGxAxg,OFFICE9195,(174) 357-9524
24,1089,Decelles,Syyed,,647.0,LdWZpjQQaWFbxvrFDjGIUDsBY,OFFICE7070,(704) 313-7831
