ActionType,ActionTS,C_ID,C_TAX_ID,C_GNDR,C_TIER,C_DOB,C_L_NAME,C_F_NAME,C_M_NAME,C_ADLINE1,C_ADLINE2,C_ZIPCODE,C_CITY,C_STATE_PROV,C_CTRY,C_EMAIL_1,C_EMAIL_2,C_CTRY_1,C_AREA_1,C_LOCAL_1,C_EXT_1,C_CTRY_2,C_AREA_2,C_LOCAL_2,C_EXT_2,C_CTRY_3,C_AREA_3,C_LOCAL_3,C_EXT_3,C_LCL_TX_ID,C_NAT_TX_ID,CA_ID,CA_TAX_ST,CA_B_ID,CA_NAME
NEW,2007-07-07T16:07:49,0,923-54-6498,F,3,1940-12-02,Joannis,Adara,,4779 Weller Way,,92624,Columbus,Ontario,Canada,Adara.Joannis@moose-mail.com,Adara.Joannis@gmx.com,1,872,523-8928,,,,492-3961,,,,,,CA3,YT3,0,1,10180,CJlmMuFyibKOmKLHIaTeWugvCgZdmcfpDsYb
NEW,2007-07-07T17:12:59,1,645-68-9627,F,3,1982-12-17,Paperno,Jirina,P,7216 Gates Avenue,,H5K 1Q9,Inglewood,WI,United States of America,Jirina.P.Paperno@ip6.li,Jirina.P.Paperno@devils.com,,,767-4707,,,,,,,,,,BC6,NU7,1,2,12538,BbxTgVGOlgyrYtVRjsXDJKmKDUp s ApIzUvH nFk
NEW,2007-07-07T22:38:23,2,332-28-3838,,3,1994-06-08,McBryan,Mariam,,12566 Misty Upper,,78220,Berkeley,Saskatchewan,United States of America,Mariam.McBryan@aggies.com,Mariam.McBryan@shtrudel.tv,,420,757-3642,61998,,,811-7498,,,,,,NY4,IA1,2,1,12944,IGzIDNTTRUDKwGaoVczrTMFJYIxSzLxJVLulovjqdqH j
NEW,2007-07-08T04:38:15,3,472-49-1339,B,3,1944-09-01,Adey,Robinia,L,12513 Wesleyan Boulevard,,H2C 1Z2,Hull,AL,United States of America,Robinia.L.Adey@12Freeukisp.co.uk,Robinia.L.Adey@icqmail.com,1,819,163-0774,,,777,787-1085,,,,,,WI4,MO1,3,1,5063,ZHXwHtCcLZqdWhWOPSWWSsvHxqBuIbXSTRTIIGzFENztrH
NEW,2007-07-08T10:41:47,4,700-39-4024,m,,1999-09-22,Haubert,Lulu,,6066 Fillmore Lower,,10044,Rancho Cucamonga,OR,United States of America,Lulu.Haubert@buffaloes.com,,,,734-4072,,,,713-2893,,,,,,ON4,MB7,4,1,1816,mzlYZlTIDmOGuKQHOEFTaOGNiAQcjtE
NEW,2007-07-08T17:44:19,5,375-32-5901,F,3,1949-11-25,Wandscher,Gaffney,,10792 Trail Lake Road,,M1G 1P3,Moreno Valley,ME,Canada,Gaffney.Wandscher@stoned.com,Gaffney.Wandscher@peacemail.com,,667,588-0328,,,,196-0005,,,,,,IL1,PE5,5,1,5981,rR iCGwaSKEiTWArprcmNAqGzaMITEn nCtaCoPkZlk tcI
NEW,2007-07-09T06:01:22,6,421-96-4908,f,3,1946-08-11,Pokrifcak,Julien,X,3594 Mitchell North,,M9F 1U7,Lubbock,MO,United States of America,Julien.X.Pokrifcak@kify.net,,1,475,246-3524,,,,904-3398,03154,,,,,IA7,MB8,6,2,700,iZoVJuWQBhqnROA vdWHcIVjugulsjZDxWWStlSpPRNY
NEW,2007-07-10T03:54:14,7,827-09-7446,F,3,1943-05-19,Ayukawa,Riyad,,15520 Ledgestone Upper,,V6C 1P2,St. Paul,Manitoba,United States of America,Riyad.Ayukawa@spamavert.com,Riyad.Ayukawa@born2frag.de,,,466-5901,,,,672-0894,,,,,,MS3,SK3,7,1,11221,bEMkkm vEtVuANcCDoJKOJYPmDaF VjfGqCTAV
NEW,2007-07-10T16:19:26,8,483-77-1213,,,1958-01-15,Turcotte,Phuong,,11293 Rice Avenue,,M5C 1X6,Pomona,CT,Canada,Phuong.Turcotte@myfastmail.com,,,,540-4805,,,,541-8177,,,,874-0060,,BC8,NU1,8,2,11337,cEuiYDQgxRUGtGKIUHDldqVELHWGqBdtzwVWFHyTpXBrCi
NEW,2007-07-11T05:39:17,9,135-51-0161,f,,1954-04-04,Nadolny,Sarah,P,11618 Jack North,,90055,Chicago,NC,United States of America,Sarah.P.Nadolny@europe.com,,,230,135-8787,,,,709-5857,,,661,179-6118,,NS4,BC8,9,1,7895,onkJdGkjJZaqkyTHpwBiUGTqVnMH pICrPBcAGUbaPdJZU
